name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
VV Morea,PNG,7.0,79.54,0.091,0.8,0.0,0.2,3.8,0.0,5.568,Poor
CB Mpofu,ZIM,8.75,81.39,0.093,0.364,0.636,0.273,1.545,0.0,7.122,Poor
D Murphy,SCOT,35.0,100.0,0.029,0.25,0.75,0.0,7.75,0.0,35.0,Poor
N Pokana,PNG,7.0,76.08,0.022,0.091,0.545,0.091,2.636,0.0,5.326,Poor
Sathya Narayanan,SUI,8.75,68.62,0.039,0.4,0.2,0.2,5.4,0.0,6.004,Poor
Shuvagata Hom,BAN,17.5,100.0,0.114,1.0,0.5,0.0,4.25,0.0,17.5,Poor
A Andrews,SUI,17.0,85.0,0.075,0.75,0.5,0.25,5.5,0.0,14.45,Poor
Arafat Sunny,BAN,11.33,113.33,0.133,0.667,0.5,0.0,2.667,0.0,12.84,Poor
Hammad Azam,PAK,11.33,100.0,0.118,1.0,0.25,0.0,4.0,0.0,11.33,Poor
S Kimura,JPN,8.5,89.47,0.053,0.5,0.0,0.0,6.0,0.0,7.605,Poor
M Kpaka,SLE,4.85,68.0,0.02,0.125,0.125,0.375,3.5,0.0,3.298,Poor
C Madande,ZIM,11.33,94.44,0.111,1.0,0.25,0.0,4.5,0.0,10.7,Poor
W McClintock,IRE,11.33,89.47,0.105,1.0,0.25,0.0,4.5,0.0,10.137,Poor
Munim Shahriar,BAN,6.8,72.34,0.106,1.0,0.0,0.0,2.8,0.0,4.919,Poor
JD Nel,SCOT,11.33,136.0,0.16,0.8,0.4,0.2,3.2,0.0,15.409,Poor
